ID,Data Center,App,Entry Time,WAN Duration
664,DC1,SES,1510599139427,968
671,DC1,SES,1510599139434,961
676,DC1,SES,1510599139437,958
683,DC1,SES,1510599139441,954
688,DC1,SES,1510599139444,951
695,DC1,SES,1510599139447,949
711,DC1,SES,1510599139456,940
705,DC1,SES,1510599139453,943
717,DC1,SES,1510599139459,937
723,DC1,SES,1510599139462,934
729,DC1,SES,1510599139465,931
735,DC1,SES,1510599139468,928
730,DC1,SES,1510599139465,931
747,DC1,SES,1510599139475,921
742,DC1,SES,1510599139472,924
759,DC1,SES,1510599139484,912
754,DC1,SES,1510599139480,916
760,DC1,SES,1510599139484,913
766,DC1,SES,1510599139489,908
772,DC1,SES,1510599139499,898
778,DC1,SES,1510599139504,893
784,DC1,SES,1510599139508,889
791,DC1,SES,1510599139512,885
796,DC1,SES,1510599139514,883
801,DC1,SES,1510599139516,881
806,DC1,SES,1510599139519,878
